Player_Name,Twitter_Handle,Team_Name,Player_Position
Bernd Leno , @Bernd_Leno,Arsenal,
Hector Bellerin , @HectorBellerin,Arsenal,
Kieran Tierney , @kierantierney1,Arsenal,
Rob Holding ,  @RobHolding95,Arsenal,
David Luiz , @DavidLuiz_4,Arsenal,
Calum Chambers , @CalumChambers95,Arsenal,
Bukayo Saka , @BukayoSaka87,Arsenal,
Thomas Partey , @Thomaspartey22,Arsenal,
Dani Ceballos , @DaniCeballos46,Arsenal,
Alexandre Lacazette , @LacazetteAlex,Arsenal,
Pierre-Emerick Aubameyang , @Aubameyang7,Arsenal,
Willian , @willianborges88,Arsenal,
Emilano Martinez , @emimartinezz1,Aston Villa,
Matt Targett , @Mattytargett,Aston Villa,
Tyrone Mings , @OfficialTM_3,Aston Villa,
Douglas Luiz , @dg_douglasluiz,Aston Villa,
John mcGinn , @jmcginn7,Aston Villa,
Jack Grealish , @JackGrealish,Aston Villa,
Ross Barkley , @RBarkley8,Aston Villa,
Ollie Watkins , @Ollie__Watkins,Aston Villa,
Anwar El Ghazi , @AnwarElGhazi6,Aston Villa,
Ben White , @ben6white,Brighton and Hove Albion,
Lewis Dunk , @lewisdunk,Brighton and Hove Albion,
Adam Webster , @AdamWebster31,Brighton and Hove Albion,
Joel Veltman , @joel_veltman,Brighton and Hove Albion,
Alexis Mac Allister , @alemacallister,Brighton and Hove Albion,
Steven Alzate , @stevenalzate98,Brighton and Hove Albion,
Adam Lallana , @officialAL20,Brighton and Hove Albion,
Neal Maupay , @nealmaupay18,Brighton and Hove Albion,
Leandro Trossard , @LTrossard,Brighton and Hove Albion,
Yves Bissouma , @Yves_Bissouma,Brighton and Hove Albion,
Nick Pope , @Popey1992,Burnley,
Charlie Taylor , @charlietaylor09,Burnley,
Kevin Long , @kevinlong28,Burnley,
Josh Brownhill , @Brownhill10,Burnley,
Robbie brady , @TheRobbieBrady,Burnley,
Ashley Barnes , @ashlbarnes,Burnley,
Chris Wood , @officialcwood,Burnley,
Jay Rodriguez , @JayRodriguez9,Burnley,
Dwight McNeil , @dwight_mcneil99,Burnley,
Edouard Mendy , @EdouardMendy16_,Chelsea,
Antonio Rudiger , @ToniRuediger,Chelsea,
Thiago Silva , @tsilva3,Chelsea,
Kurt Zouma , @KurtZouma,Chelsea,
Benjamin Chilwell , @BenChilwell,Chelsea,
Cezar Azpilicueta , @CesarAzpi,Chelsea,
Reece James , @reecejames_24,Chelsea,
N’Golo Kante , @nglkante,Chelsea,
Mason Mount  , @masonmount_10,Chelsea,
Callum Hudson-odoi  , @Calteck10,Chelsea,
Christian Pulisic , @cpulisic_10,Chelsea,
Kai Havertz  , @kaihavertz29,Chelsea,
Timo Werner  , @TimoWerner,Chelsea,
Tammy Abraham  , @tammyabraham,Chelsea,
Hakim Ziyech  , @HaZiyech,Chelsea,
Vicente Guaita , @13_VicentGuaita,Crystal Palace,
Patrick Van Aanholt , @pvanaanholt,Crystal Palace,
Nathaniel Clyne  , @Nathaniel_Clyne,Crystal Palace,
Jeffrey Schlupp  , @Jeffrey_Schlupp,Crystal Palace,
James McArthur , @jamesmcarthur16,Crystal Palace,
Eberechi Eze , @EbereEze10,Crystal Palace,
Andros Townsend  , @andros_townsend,Crystal Palace,
Jordan Ayew  , @jordan_ayew9,Crystal Palace,
Wilfred Zaha ,  @wilfriedzaha,Crystal Palace,
Jordan Pickford , @JPickford1,Everton,
Michael Keane  , @michaelkeane04,Everton,
Lucas Digne  , @LucasDigne,Everton,
Yerry Mina  , @YerryMinaCF,Everton,
Seamus Coleman , @seamiecoleman23,Everton,
Abdoulaye Douceur , @abdoudoucoure16,Everton,
James Rodriguez , @jamesdrodriguez,Everton,
Ben Godfrey , @BenG0dfrey,Everton,
Alex Iwobi , @alexiwobi,Everton,
Dominic Calvert-Lewin , @CalvertLewin14,Everton,
Richarlison , @richarlison97,Everton,
Alphonse Areola , @AreolaOfficiel,Fulham,
Tosin Adarabioyo , @TosinAdarabioyo,Fulham,
Antonee Robinson , @Antonee_Jedi,Fulham,
Temitayo Olufisayo Olaoluwa Aina , @Aina2Ola,Fulham,
Bobby Reid , @bobbyreid93,Fulham,
